organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Prismalink International,Plink,"Rukan Dipo Business Center Unit B-08, Jalan Jend. Gatot Subroto Kav. 51-52, Jakarta 10260",,Payment Service Provider - License Category 2,23/677/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Sinar Digital Terdepan,Xendit,"Jl. Letjen M.T. Haryono No. 50, RT.11/RW.2, Cawang, Jakarta 12770",,Payment Service Provider - License Category 2,23/582/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Sprint Asia Technology,Bayarind,"Jl. Raya RS Fatmawati No. 7 Gandaria Utara, Kebayoran Baru Jakarta Selatan, 12140",,Payment Service Provider - License Category 2,23/586/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Traveloka Indonesia,,Wisma 77 Tower 2 Lantai 21 Jl. Letjen S. Parman Kav. 77 Slipi JAKARTA 11410,,Payment Service Provider - License Category 2,23/590/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT BPR Sri Artha Lestari,,"Jl. Teuku Umar No. 110, Denpasar Bali",,Payment Service Provider - License Category I,23/652/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Supra Artapersada,,"Jalan Raya Cisaat No. 124, Sukabumi",,Payment Service Provider - License Category I,23/653/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Astra Digital Arta,,"Menara FIF Lt. 5, Jl. TB. Simatupang Kav. 15, Kel. Lebak Bulus Kec. Cilandak, Jakarta Selatan",,Payment Service Provider - License Category I,23/559/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT AEON Credit Services,,"Plaza Kuningan, Menara Selatan Lt. 3A, Jl. HR. Rasuna Said, Kav. C11-14, Setiabudi, Jakarta 12920",,Payment Service Provider - License Category I,23/555/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Airpay International Indonesia,SHOPEEPAY,"Pacific Century Place 28, Jl. Jendral Sudirman Kav. 52 – 53, RT/RW. 05/03, Senayan, Kebayoran Baru, Jakarta Selatan 12190",,Payment Service Provider - License Category I,23/557/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT Akasanet Bumi Nusantara,Yodu,"Gedung Treasury Tower Lt.29, Distric 8, Kawasan SCBD Lot 28 Jl. Jend. Sudirman Kav.52-53 JAKARTA SELATAN 12190",,Payment Service Provider - License Category I,23/558/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
Bank SBI Indonesia (Eks Bank Indomonex),,"Graha Mandiri Lt.1, Jl. Imam Bonjol No. 1, Jakarta 10310",,Payment Service Provider - License Category I,23/629/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
Citibank N.A,,"Citibank Tower Lt. 8-11, Pacific Century Place SCBD Lot 10, Jl. Jend. Sudirman No. 52-53 Jakarta 12190",,Payment Service Provider - License Category I,23/598/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"MUFG Bank, Ltd (d/h PT Bank of Tokyo Mitsubishi UFJ)",,"Mid Plaza Building 1-3 F, Jl. Jend. Sudirman Kav. 10-11, Jakarta 10220",,Payment Service Provider - License Category I,23/599/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank BPD Riau,,"Menara Dang Merdu Bank Riau Kepri, Jl. Jend. Sudirman No. 462, Pekanbaru 28166",,Payment Service Provider - License Category I,23/635/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank BTPN Syariah, Tbk (d/h PT BTPN Syariah)",,"Menara BTPN Lt.12 CBD Mega Kuningan, Jl. Dr. Ide Anak Agung Gde Agung Kav.5.5-5.6, Jakarta Selatan",,Payment Service Provider - License Category I,23/604/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Bumi Artha, Tbk",,"Jl. KH. Wahid Hasyim No. 234 Lt. 1-2, Jakarta 10250",,Payment Service Provider - License Category I,23/682/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Capital Indonesia, Tbk",,"Gedung Menara Jamsostek Lt. 1 dan 6, Jl. Gatot Subroto No. 38, Jakarta Selatan 12710",,Payment Service Provider - License Category I,23/683/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Central Asia Syariah,,Jl. Jatinegara Timur 72 Jakarta 13310,,Payment Service Provider - License Category I,23/603/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Central Asia, Tbk",,"Menara BCA, Grand Indonesia, Jl. MH. Thamrin No. 1, Jakarta 10310",,Payment Service Provider - License Category I,23/684/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank China Construction Bank Indonesia, Tbk (d/h PT Bank Windu Kentjana International)",,"Gedung Perkantoran Sahid Sudirman Center Lt.15, Jl. Jend. Sudirman Kav.86, Jakarta Pusat 10220",,Payment Service Provider - License Category I,23/685/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank CIMB Niaga, Tbk",,"Graha Niaga/Niaga Tower, Jl. Jend. Sudirman Kav. 58, Jakarta 12190",,Payment Service Provider - License Category I,23/686/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Commonwealth,,"Treasury Tower Lantai 65 Lot. 28, SCBD, Jl. Jend. Sudirman Kav.52-54, Jakarta 12190",,Payment Service Provider - License Category I,23/687/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Danamon Indonesia, Tbk (merger dengan PT Bank Nusantara Parahyangan) ",,"Menara Danamon, Jl. HR. Rasuna Said, Kav. C. 10, Jakarta 12940",,Payment Service Provider - License Category I,23/689/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank DBS Indonesia,,"DBS Bank Tower, 33rd- 37 Fl. Ciputra World 1, Jl. Prof. Dr. Satrio Kav 3-5 Jakarta 12940, Indonesia",,Payment Service Provider - License Category I,23/690/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Digital BCA (d/h PT Bank Royal Indonesia),,"Jl. Suryopranoto No. 52, Jakarta 10310",,Payment Service Provider - License Category I,23/691/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank DKI,,"Gedung Prasada Sasana Karya, Jl. Suryopranoto No. 8 Jakarta Pusat 10130",,Payment Service Provider - License Category I,23/721/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Ganesha,,"Jl. Hayam Wuruk No. 8, Jakarta 10120",,Payment Service Provider - License Category I,23/692/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank HSBC Indonesia, Tbk (d/h PT Bank Ekonomi Raharja, Tbk)",,"World Trade Center 1 lantai 8-9, Jl. Jendral Sudirman Kav. 29-31, Jakarta 12920",,Payment Service Provider - License Category I,23/694/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank IBK Indonesia, Tbk (d/h PT Bank Agris, Tbk)",,"Wisma GKBI Suite UG-01, Jl. Jend. Sudirman No. 28 Jakarta 10210",,Payment Service Provider - License Category I,23/695/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank ICBC Indonesia,,"ICBC Tower Jl. MH. Thamrin No. 81, Jakarta 10310",,Payment Service Provider - License Category I,23/696/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Ina Perdana, Tbk",,"Gedung Ariobimo Sentral, Mezzanine Floor, Jl. H.R. Rasuna Said Blok X-2 Kav 5, Jakarta 12950",,Payment Service Provider - License Category I,23/697/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Index Selindo,,"Plaza Bank Index Lantai 8, Jl. MH. Thamrin Kav. 57, Jakarta 10350",,Payment Service Provider - License Category I,23/698/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Jabar Banten Syariah,,Jl. Braga No.135 Bandung,,Payment Service Provider - License Category I,23/699/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Jabar dan Banten,DigiCash,Jl. Naripan No. 12-14 Bandung 40111,,Payment Service Provider - License Category I,23/723/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank Jago, Tbk (d/h PT Bank Artos)",,"Jl. Otto Iskandardinata No. 18, Bandung 40171",,Payment Service Provider - License Category I,23/700/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Jasa Jakarta,,"Jl. Tiang Bendera III No. 26-32, Jakarta 11230",,Payment Service Provider - License Category I,23/701/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Jtrust Indonesia (d/h PT Bank Mutiara, Tbk, d/h PT Bank Century)",,"Sahid Sudirman Center 33,35,36 Floor, Jl. Jend Sudirman No. 86, Jakarta 10220",,Payment Service Provider - License Category I,23/702/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank KB Bukopin, Tbk (d/h PT Bank Bukopin, Tbk)",,"Gedung Bank KB Bukopin, Jl. MT. Haryono, Kav. 50-51, Jakarta Barat 12770",,Payment Service Provider - License Category I,23/681/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank KEB Hana Indonesia (d/h PT Bank Hana),,"Mangkuluhur City Tower 1, Jl. Jend. Gatot Subroto Kav. 1-3, Kel. Karet, Semanggi, Kec. Setiabudi, Jakarta Selatan",,Payment Service Provider - License Category I,23/703/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Kesejahteraan Ekonomi,,"Gedung IKP-RI, Jl. RP. Soeroso No.21, Jakarta 10330",,Payment Service Provider - License Category I,23/704/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Lampung,,"Jl. Wolter Monginsidi No. 182, Teluk Betung 35215",,Payment Service Provider - License Category I,23/630/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Mandiri (Persero), Tbk","e-Money, e-Cash","Plaza Mandiri, Jl. Jend. Gatot Subroto Kav. 36 – 38, Jakarta 12190",,Payment Service Provider - License Category I,23/605/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Mandiri Taspen (d/h PT Bank Sinar Harapan Bali),,"Graha Mantap, Jl. Cikini Raya No.42, Jakarta Pusat 10330",,Payment Service Provider - License Category I,23/606/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Maspion Indonesia,,"Jl. Basuki Rahmat 50-54, Surabaya 60262",,Payment Service Provider - License Category I,23/607/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Mayapada Internasional, Tbk",,"Mayapada Tower Ground Floor, Jl. Jend. Sudirman Kav. 28, Jakarta 12920",,Payment Service Provider - License Category I,23/608/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Maybank Indonesia, Tbk (d/h Bank Internasional Indonesia, Tbk)",,"Gedung Sentral Senayan III, Jl. Asia Afrika No. 8, Gelora Bung Karno, Jakarta",,Payment Service Provider - License Category I,23/609/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Mayora,,"Gedung Mayora, Jl. Tomang Raya Kav. 21-23, Jakarta Barat 11440",,Payment Service Provider - License Category I,23/610/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Mega, Tbk","Mega Cash, Mega Virtual","Menara Bank Mega, Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta 12790",,Payment Service Provider - License Category I,23/612/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Mestika Dharma,,"Mestika Building, Jl. H. Zainul Arifin No. 118, Medan 20153",,Payment Service Provider - License Category I,23/613/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank MNC Internasional, Tbk (d/h PT Bank ICB Bumiputera)",,"Gedung MNC Financial Center Lt. 6,7,8, Jl. Kebon Sirih Raya No. 27, Jakarta Pusat 10340",,Payment Service Provider - License Category I,23/614/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank Muamalat Indonesia, Tbk",,"Muamalat Tower, Jl. Prof. Dr. Satrio Kav. 18, Jakarta 12950",,Payment Service Provider - License Category I,23/615/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Multiarta Sentosa,,Graha Bank MAS Jl. Setiabudi Selatan Kav. 10 Jakarta 12920,,Payment Service Provider - License Category I,23/616/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Nationalnobu, Tbk",,"Nobu Center, Plaza Semanggi, Jl. Jend. Sudirman Kav 50, Jakarta 12930",,Payment Service Provider - License Category I,23/617/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Negara Indonesia 1946 (Persero), Tbk",,"Wisma 46-Kota BNI, Jl. Jend. Sudirman Kav.1 Jakarta 10220",,Payment Service Provider - License Category I,23/618/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank Neo Commerce, Tbk (d/h PT Bank Yudha Bhakti, Tbk)",,"Gedung Gozco, Jl. Raya Pasar Minggu Kav. 32, Pancoran, Jakarta Selatan 12780",,Payment Service Provider - License Category I,23/619/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank OCBC NISP, Tbk",One Wallet,"OCBC NISP Tower Jl. Prof. Dr. Satrio Kav. 25, Jakarta 12940",,Payment Service Provider - License Category I,23/620/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank of China (Hongkong) Limited Cabang Jakarta,,"Tamara Centre Suite 101,102,201 & 1101, Jl. Jend. Sudirman Kav. 24, Jakarta Selatan 12920",,Payment Service Provider - License Category I,23/597/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank of India (d/h PT Bank Swadesi),,Jl. H. Samanhudi No.37 Jakarta 10710,,Payment Service Provider - License Category I,23/621/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Oke Indonesia, Tbk (d/h PT Bank Dinar Indonesia, Tbk)",,"Jl. Ir. H. Juanda No. 12, Jakarta 10120",,Payment Service Provider - License Category I,23/622/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Panin Dubai Syariah (d/h PT Bank Panin Syariah),,"Gedung Panin Life Center Lt. 3, Jl. Letjend S. Parman Kav. 91, Jakarta Barat 11420",,Payment Service Provider - License Category I,23/623/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Permata, Tbk",BBM Money,"Permata Bank Tower 3, Jl. MH. Thamrin Blok B1 No. 1, Pusat Kawasan Niaga Bintaro Jaya Sektor VII, Tangerang 15224",,Payment Service Provider - License Category I,23/624/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank QNB Indonesia, Tbk (d/h PT Bank Kesawan)",Dooet,"QNB Tower, 18 Parc SCBD, Jl. Jend. Sudirman Kav.52-53, Jakarta Pusat",,Payment Service Provider - License Category I,23/625/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Rakyat Indonesia (Persero), Tbk","Tbank, BRIZZI","Jl. Jend. Sudirman No. 44-46, Jakarta 10210",,Payment Service Provider - License Category I,23/626/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank Raya Indonesia. Tbk (d/h PT Bank Rakyat Indonesia Agroniaga, Tbk)",,"Gedung BRI AGRO, Jl. Warung Jati Barat No. 139",,Payment Service Provider - License Category I,23/627/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Sahabat Sampoerna,,"Sampoerna Strategic Square North Tower, Mezzanine Floor, Jl. Jend. Sudirman Kav. 45, Jakarta 12930",,Payment Service Provider - License Category I,23/628/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Shinhan Indonesia (d/h PT Centratama Nasional Bank),,"International Finacial Center 2 lt. 30, Jl. Jend. Sudirman Kav. 22-23, Jakarta Selatan",,Payment Service Provider - License Category I,23/705/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Sinarmas, Tbk",Simas E-Money,"Sinarmas Land Plaza, Jl. MH. Thamrin No. 51,Tower 1, 8th FloorJakarta 10350",,Payment Service Provider - License Category I,23/706/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
PT Bank Syariah Bukopin,,Gd. Bank Syariah Bukopin Jl. Salemba Raya 55 Jakarta Pusat,,Payment Service Provider - License Category I,23/707/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Syariah Indonesia ,,"Gedung BRI Syariah Lt.2, Jl. Abdul Muis No. 2-4, Jakarta Pusat",,Payment Service Provider - License Category I,23/708/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Tabungan Negara (Persero), Tbk",,"Menara Bank BTN, Jl. Gajah Mada No.1, Jakarta Pusat 10130",,Payment Service Provider - License Category I,23/709/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services",Berizin (Telah Operasional),,,
"PT Bank UOB Indonesia, Tbk (d/h PT Bank UOB Buana)",,"UOB Plaza, Jl. MH. Thamrin No. 10, Jakarta 10230",,Payment Service Provider - License Category I,23/710/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Victoria Internasional,,"Gedung Graha BIP Lt. 10, Jl. Gatot Subroto Kav. 23, Karet Semanggi, Setiabudi, Jakarta Selatan 12930",,Payment Service Provider - License Category I,23/711/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bank Victoria Syariah,,"Gedung The Victoria, Lt. 2 dan 3, Jl. Tomang Raya No. 35-37, Jakarta Barat 11440",,Payment Service Provider - License Category I,23/712/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT Bank Woori Saudara Indonesia 1906, Tbk (d/h PT Bank Himpunan Saudara 1906, Tbk merger dengan PT B",,"Gedung Bank Woori Saudara Jl. Diponegoro No. 28, Bandung 40115",,Payment Service Provider - License Category I,23/713/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT Bimasakti Multi SInergi,"Speed Cash, Winpay","Graha Bimasakti, Jl Delta Raya Utara Kav. 49-51, Deltasari Baru Sidoarjo, Jawa Timur 61256",,Payment Service Provider - License Category I,23/560/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Payment Initiation and/or Acquiring Services, Remittance Services",Berizin (Telah Operasional),,,
PT Bluepay Digital Internasional,Bluepay Cash,"Gedung Midpoint Place Lantai 19, Jl. Fachrudin No. 26, Tanah Abang, Jakarta 10250",,Payment Service Provider - License Category I,23/561/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,"Account Issuance Services, Remittance Services",Berizin (Telah Operasional),,,
PT BPD Bali,,"Jl. Raya Puputan Nitimandala, Denpasar",,Payment Service Provider - License Category I,23/717/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
"PT BPD Banten, Tbk (d/h Bank Pundi Indonesia d/h Bank Eksekutif)",,"Jl. Sudirman Lingkungan Kemang, Ruko Sembilan No.04-06, Kel. Sumur Pecung, Kec. Serang, Banten",,Payment Service Provider - License Category I,23/718/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Bengkulu,,"Jl. Basuki Rahmat No. 6, Bengkulu",,Payment Service Provider - License Category I,23/719/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Daerah Istimewa Yogyakarta (BPD DIY),Jogja Smart,"Jl. Tentara Pelajar No. 7, Yogyakarta",,Payment Service Provider - License Category I,23/720/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Jambi,,"Jl. Jend. A. Yani No. 18, telanai Pura, Jambi 36122",,Payment Service Provider - License Category I,23/722/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Jawa Tengah,,"Gedung Grinatha, Jl. Pemuda No. 142, Semarang 50132",,Payment Service Provider - License Category I,23/724/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Jawa Timur (BPD Jatim),,"Jl. Basuki Rachmad 98-104, Surabaya 50271",,Payment Service Provider - License Category I,23/725/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPD Kalimantan Barat,,"Jl. Rahadi Osman No. 10, Pontianak 78117",,Payment Service Provider - License Category I,23/726/DKSP/Srt/B,7/1/2021,Departemen Kebijakan Sistem Pembayaran,7/1/2021,Account Issuance Services,Berizin (Telah Operasional),,,
