organization,prev_organization,address
PT Trust Sekuritas,"PT Trust Securities
PT Tri Usaha Tama Securities PT Buraksa Perkasa","Prosperity Tower Lantai 2E District 8, SCBD Lot 28, Jl. Jend. Sudirman Kav. 52-53, Jakarta Selatan 12190, Telp. (021) 50300805, Fax. (021) 50300826"
PT UBS Sekuritas Indonesia,"PT UBS Securities Indonesia
PT UBS Warburg Indonesia PT Warburg Dillon Read Ind.","Sequis Tower Level 22 unit 22-1, Jalan Sudirman Kav. 71, SCBD Lot 11B, Jakarta 12190, Telp. (021) 5740111, Fax. (021) 25511662"
PT Universal Broker Sekuritas Indonesia,"PT Universal Broker Indonesia PT Maxima Treasure Fund
PT Treasure Fund Indonesia
PT Tifa Securities","Graha Selaras Lantai 2, Jl. KH Mas Mansyur No. 59, Jakarta 10230, Telp. (021) 21232185, Fax. (021)
21232186"
PT UOB Kay Hian Sekuritas,"PT Uob Kay Hian Securities PT Uobb Securities
PT United Overseas Bank Bali","UOB Plaza, Thamrin Nine Lantai 36, Jalan M.H. Thamrin Kav. 8-10, Jakarta 10230, Telp. (021) 29933888,
Fax. (021) 2300238"
PT Valbury Sekuritas Indonesia,"PT Valbury Asia Securities
PT Caturpilar Investama","Menara Karya Lantai 9, Jalan HR Rasuna Said Blok X-5 Kav 1-2 Setiabudi Jakarta Selatan, Jakarta
12950  Telp. (021) 25533600  Fax. (021) 25533700"
PT Verdhana Sekuritas Indonesia,"PT Deutsche Verdhana Sekuritas Indonesia
PT Deutsche Verdhana Indonesia
PT Verdhana Indonesia","Deutsche Bank Building Lantai 18, Jalan Imam Bonjol No. 80, Jakarta 10310, Telp. (021) 50985799, Fax."
PT Victoria Sekuritas Indonesia,PT Victoria Securities Indonesia,"Graha BIP Lantai 3A, Jalan Gatot Subroto Kav. 23, Jakarta Selatan 12930, Telp. (021) 50992980, Fax.
(021) 50992981"
PT Wanteg Sekuritas,"PT Wanteg Securindo
PT Antar Dhanamasa","AKR Tower Lt. 10 Suite B, Jl. Panjang No. 5 Kebon Jeruk, Jakarta Barat  11530, Telp. (021) 53671517,
Fax. (021) 53671519"
PT Waterfront Sekuritas Indonesia,"PT Waterfront Securities Indonesia
PT Paramount Indo Sek","Sona Topaz Tower Lantai 15A, Jalan Jenderal Sudirman Kav. 26, Jakarta 12920, Telp. (021) 2506355,
Fax. (021) 2506322"
PT Yuanta Sekuritas Indonesia,"PT Yuanta Securities Indonesia PT Amcapital Indonesia
PT Arab Malaysian Capital Ind. PT Multidana Sekurindo
PT Multi Pengelola Dana Prima","Equity Tower Lantai 10 Suite 10F, SCBD Lot 9, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021) 5153608, Fax. (021) 5150205, 5150208"
PT Yulie Sekuritas Indonesia Tbk,PT Yulie Sekurindo Tbk. PT Ravindo Sekuritama,"Plaza Mutiara Fl. 5 suite 507, Jl. Dr. Ide Anak Agung
Gde Agung kav. E.1.2 No 1 dan 2, Jakarta  12950, Telp. (021) 51402180, 51402181, Fax. (021) 51402182"
PT BJB Sekuritas Jawa Barat,-,"Jalan Kejaksaan Nomor 8-10, Bandung, Jawa Barat, 40111, Telp. (022) 4211415"
